filingType,batch,announcementDate,algorithmName,algorithmClass,role,entityName,product,purpose,recordNumber,remark,province,domainTags,sourceUrl
互联网信息服务算法备案,2022年8月,2022-08,网易传媒信息推送算法,个性化推送类,,北京网易传媒有限公司,网易新闻（APP）,应用于通知栏信息推送，通过用户历史点击行为和用户匹配标签为用户推荐可能感兴趣的新闻资讯。,网信算备110101135224302220011号,,北京,新闻资讯,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,网易传媒信息搜索算法,检索过滤类,,北京网易传媒有限公司,网易新闻（APP）、网易网（网站）,应用于搜索功能，通过用户输入的查询词，搜索满足需求的新闻资讯。,网信算备110101135224304220013号,,北京,新闻资讯、搜索/浏览器,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,一点资讯个性化内容推荐算法,个性化推送类,,北京一点网聚科技有限公司,一点资讯（APP）,应用于资讯推荐，通过点击、观看时长等用户数据为用户推荐可能感兴趣的资讯内容。,网信算备110105167703302220011号,,北京,新闻资讯,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,360搜索信息检索算法,检索过滤类,,北京奇虎科技有限公司,360搜索（网站）,应用于搜索引擎，通过用户输入的查询词信息，搜索满足需求的网页。,网信算备110105199127804220017号,,北京,搜索/浏览器,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,凤凰网个性化推荐算法,个性化推送类,,北京天盈九州网络技术有限公司,凤凰视频客户端（APP）、凤凰新闻（APP）,应用于资讯推荐，通过用户的历史行为数据为用户推荐可能感兴趣的内容。,网信算备110105766070002220015号,,北京,新闻资讯、短视频/直播,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,智联首页职位推荐算法,个性化推送类,,北京网聘信息技术有限公司,智联招聘（APP）,应用于首页职位推荐，通过用户发布的职位信息、简历信息及选择填写的相关条件为用户推荐可能感兴趣的职位信息。,网信算备110105799745702220015号,原主体名称“北京网聘咨询有限公司”变更为“北京网聘信息技术有限公司”,北京,招聘/人力资源,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,微博热搜算法,排序精选类,,北京微梦创科网络技术有限公司,微博（APP、网站、小程序）,应用于热搜榜单，精选热点内容，通过用户搜索、讨论、传播数据，对热点内容进行排序。,网信算备110108077222703220015号,,北京,新闻资讯、搜索/浏览器,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,微博个性化推送算法,个性化推送类,,北京微梦创科网络技术有限公司,微博（APP、网站、小程序）,应用于微博推荐，通过用户历史浏览行为推荐用户可能感兴趣的微博内容。,网信算备110108077222702220019号,,北京,未分类/待复核,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,美团配送调度决策算法,调度决策类,,北京三快科技有限公司,美团（APP、小程序）、美团众包（APP）、美团骑手（APP）,应用于配送场景，计算用户订单的预计送达时间，并为订单匹配骑手。,网信算备1101082242366066220017号,2023年12月新增算法使用产品,北京,未分类/待复核,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,优酷个性化推荐算法,个性化推送类,,优酷信息技术（北京）有限公司,优酷（APP）,应用于视听内容推荐，通过用户的基础信息及历史记录，为用户推荐可能感兴趣的视听内容。,网信算备110108381509702220011号,,北京,短视频/直播,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,快手短视频生成合成算法,生成合成类,,北京快手科技有限公司,快手（APP）,应用于短视频制作场景，利用生成模型对用户上传图片、视频进行编辑和重新生成，实现属性编辑、风格转换等。,网信算备110108413760701220011号,,北京,短视频/直播、生成合成,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,快手个性化推送算法,个性化推送类,,北京快手科技有限公司,快手（APP）,应用于视频推荐，通过用户历史浏览习惯、近期兴趣、长期兴趣和当前热度，为用户推荐可能感兴趣的视频内容。,网信算备110108413760702220017号,,北京,短视频/直播,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,百度热搜榜排序精选算法,排序精选类,,北京百度网讯科技有限公司,百度（APP）、百度搜索（网站）,应用于百度热搜榜单，精选热点事件热词，使用事件相关统计信息及用户行为数据，对热点事件进行排序。,网信算备110108645502803220017号,,北京,新闻资讯、搜索/浏览器,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,百度信息检索算法,检索过滤类,,北京百度网讯科技有限公司,百度搜索（网站）、hao123（APP）、百度（APP）,应用于搜索引擎，根据用户输入的搜索词，搜索满足需求的网页结果。,网信算备110108645502804220013号,,北京,搜索/浏览器,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,百度内容安全算法,检索过滤类,,北京百度网讯科技有限公司,百度新闻（APP、网站）百度百科（APP、网站）、百度贴吧（APP、网站）等,应用于用户发布信息内容的内容安全风险识别，发现和处置违法违规信息内容。,网信算备110108645502804220021号,,北京,新闻资讯、搜索/浏览器、安全/风控,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,新浪新闻个性化推荐算法,个性化推送类,,北京新浪互联信息服务有限公司,新浪新闻（APP）,应用于新闻推荐，通过使用用户历史行为数据为用户推荐可能感兴趣的新闻资讯。,网信算备110108703893902220019号,,北京,新闻资讯,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,抖音个性化推荐算法,个性化推送类,,北京抖音信息服务有限公司,西瓜视频（APP）、抖音短视频（APP）、今日头条（APP）,应用于图文、视频、商品及服务内容推荐，通过用户历史的点击、时长、点赞、评论、转发、不喜欢等行为数据为用户推荐可能感兴趣的内容。,网信算备110108823483902220017号,2022年9月更新备案主体名称,北京,短视频/直播、电商/本地生活、社交/社区,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,小米浏览器内容推荐算法,个性化推送类,,小米科技有限责任公司,小米浏览器（APP）,应用于资讯、视频内容推荐，通过用户的行为日志数据为用户推荐可能感兴趣的资讯和视频内容。,网信算备110108916280902220019号,,北京,新闻资讯、短视频/直播、搜索/浏览器,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,猎聘信息推荐算法,个性化推送类,,同道精英（天津）信息技术有限公司,猎聘（APP、网站、小程序）,应用于求职者职位信息推荐，通过求职者和岗位匹配程度分析数据为平台求职者推荐职位、为平台招聘方推荐求职者。,网信算备120116724916902220019号,,天津,招聘/人力资源,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,蜂鸟物流配送算法,调度决策类,,上海拉扎斯信息科技有限公司,蜂鸟众包（APP）,应用于配送场景，统筹区域内订单和骑手，将订单匹配给时间充裕、顺路的骑手。,网信算备310107429160605220017号,,上海,未分类/待复核,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,亲宝宝育儿推荐算法,个性化推送类,,杭州点望科技有限公司,亲宝宝（APP）,应用于育儿资讯推荐，通过用户的行为数据和用户画像为用户推荐可能感兴趣的育儿资讯及话题。,网信算备330106316738502220027号,,浙江,新闻资讯、社交/社区,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,天猫商品排行算法,排序精选类,,浙江天猫网络有限公司,手机天猫（APP）,应用于商品排行，通过使用用户的点击、加购、销量等数据按不同类目、属性对商品进行客观排序。,网信算备330110046572903220011号,,浙江,电商/本地生活,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,钉钉语音识别算法,生成合成类,,钉钉科技有限公司,钉钉（APP）,应用于即时通讯场景的语音转文字功能，实现对语音消息的文字识别。,网信算备330110391028001220019号,,浙江,生成合成、安全/风控,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,淘宝推荐算法,个性化推送类,,浙江淘宝网络有限公司,手机淘宝（APP）,应用于首页、逛逛、支付完成页等的内容推荐，通过用户的访问足迹、历史搜索数据为用户推荐可能感兴趣的商品或服务信息。,网信算备330110872770702220011号,,浙江,电商/本地生活、搜索/浏览器,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,菜鸟包裹时效预测算法,调度决策类,,杭州菜鸟物流信息科技有限公司,菜鸟（APP、小程序）,应用于配送场景，预测包裹派送到达时间。,网信算备330110977354705220017号,,浙江,未分类/待复核,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,聚好看音视频内容推荐算法,个性化推送类,,聚好看科技股份有限公司,海信智能电视聚好看应用（APP）,应用于音视频推荐，通过用户兴趣特征、活跃特征等数据为用户推荐可能感兴趣的音视频内容。,网信算备370212438665702220011号,,山东,短视频/直播,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,苏宁易购个性化商品推荐算法,个性化推送类,,深圳市云网万店电子商务有限公司,苏宁易购（APP、网站）,应用于商品信息推荐，通过用户偏好信息、行为数据为用户推荐可能感兴趣的商品。,网信算备440303176429902220013号,,广东,电商/本地生活,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,富途牛牛内容推荐算法,个性化推送类,,深圳市富途网络科技有限公司,富途牛牛（APP）,应用于金融资讯推荐，通过使用用户浏览、点击、关注、分享等行为数据为用户推荐可能感兴趣的文章、资讯内容。,网信算备440305292947002220013号,2023年4月、12月更新算法公示信息,广东,新闻资讯、金融,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,微信看一看个性化推送算法,个性化推送类,,深圳市腾讯计算机系统有限公司,微信（APP）,应用于资讯推荐，通过用户浏览记录、关注公众号、用户在看内容等数据为用户推荐可能感兴趣的图文、视频内容。,网信算备440305295988702220015号,,广东,新闻资讯、短视频/直播,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年8月,2022-08,腾讯新闻排序精选算法,排序精选类,,深圳市腾讯计算机系统有限公司,腾讯新闻(APP),应用于新闻内容排序场景，通过内容打散、排序打分等多种干预策略，优化新闻精选内容排序结果。,网信算备440305295988703220011号,变更内容：算法名称原“腾讯新闻要闻排序算法”变更为“腾讯新闻排序精选算法”，变更主要用途 为“应用于新闻内容排序场景，通过内容打散、排序打分等多种干预策略，优化新闻精选内容排序结果。”,广东,新闻资讯,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年10月,2022-10,网易传媒信息流推荐算法,个性化推送类,,北京网易传媒有限公司,网易新闻（APP、小程序）,应用于新闻资讯推荐，根据用户的历史行为记录，推荐用户可能感兴趣的新闻资讯。,网信算备110101135224302220029号,,北京,新闻资讯,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年10月,2022-10,花椒直播频道推荐算法,个性化推送类,,北京密境和风科技有限公司,花椒直播（APP）,应用于直播内容推荐，根据用户基础信息和历史记录，推荐用户可能感兴趣的直播内容。,网信算备110105033502402220017号,,北京,短视频/直播,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年10月,2022-10,风行视频推荐算法,个性化推送类,,北京风行在线技术有限公司,风行视频（APP、网站、小程序）、风行电视应用（APP）,应用于视听内容推荐，根据用户的基础信息和历史记录，推荐用户可能感兴趣的视听内容。,网信算备110105078915002220011号,2023年12月新增算法使用产品,北京,短视频/直播,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年10月,2022-10,宝宝树内容推荐算法,个性化推送类,,北京众鸣世纪科技有限公司,宝宝树孕育（APP）,应用于育儿资讯推荐，根据用户行为数据和用户画像，推荐用户可能感兴趣的育儿资讯及话题。,网信算备110105193725702220013号,,北京,新闻资讯、社交/社区,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
互联网信息服务算法备案,2022年10月,2022-10,豆瓣个性化内容推荐算法,个性化推送类,,北京豆网科技有限公司,豆瓣（APP、网站）,应用于内容推荐，根据用户浏览、点击、收藏等行为数据和用户基础属性数据，推荐用户可能感兴趣的内容。,网信算备110105404268302220015号,,北京,未分类/待复核,https://www.cac.gov.cn/2022-08/12/c_1661927474338504.htm
